DN,area_ha
"1",0.121
"12",0.061
"16",0.061
"9",0.363
"11",0.061
"4",1.030
"16",1.151
"9",0.121
"9",0.061
"11",0.182
"9",0.121
"12",0.121
"9",0.061
"16",0.061
"9",0.242
"12",0.121
"11",0.061
"16",0.182
"9",0.061
"9",0.061
"11",0.061
"9",0.061
"16",0.061
"12",0.242
"4",0.424
"4",0.061
"1",0.182
"12",0.061
"9",0.727
"4",0.121
"16",0.121
"1",0.606
"11",0.061
"12",0.061
"4",0.121
"13",0.121
"16",0.121
"12",0.303
"9",0.061
"4",0.061
"16",0.182
"9",0.061
"12",0.121
"1",0.121
"4",0.303
"4",0.121
"12",0.061
"12",0.061
"4",0.242
"9",0.061
"1",0.061
"12",0.061
"13",0.061
"16",0.121
"12",0.121
"16",0.061
"16",0.182
"4",0.061
"12",1.575
"16",8.966
"1",6.300
"11",5.270
"9",0.121
"1",0.121
"1",0.061
"16",0.061
"16",0.061
"4",0.121
"12",0.121
"12",0.061
"9",0.061
"4",0.485
"11",1.090
"12",0.061
"16",0.061
"16",0.121
"16",1.393
"4",0.061
"9",1.333
"9",0.061
"11",0.061
"11",0.061
"11",0.061
"16",0.363
"12",0.363
"12",0.061
"12",0.061
"11",0.061
"1",0.061
"12",0.061
"16",0.121
"1",0.061
"16",0.363
"4",0.363
"9",0.121
"9",0.182
"11",0.121
"1",0.061
"11",0.061
"12",0.061
"1",0.121
"16",0.061
"4",0.182
"4",0.788
"16",0.666
"11",0.121
"4",0.606
"11",0.242
"12",0.121
"16",0.121
"1",1.212
"4",0.121
"16",0.182
"4",0.182
"9",0.061
"4",0.061
"16",0.121
"9",0.121
"1",0.121
"1",0.121
"4",0.061
"12",0.485
"12",1.030
"1",0.485
"4",0.061
"16",0.061
"13",0.182
"1",0.061
"11",0.061
"12",0.121
"16",0.061
"4",0.121
"4",0.182
"4",0.121
"16",0.242
"1",0.545
"9",0.303
"1",0.363
"4",1.151
"11",0.485
"12",0.061
"16",0.121
"1",0.121
"12",0.424
"9",0.061
"12",40.341
"11",0.182
"12",0.121
"12",0.121
"4",0.061
"9",0.121
"1",0.061
"12",0.303
"4",0.121
"9",0.121
"9",0.424
"9",0.182
"1",0.182
"1",0.061
"9",0.364
"4",0.545
"9",0.121
"4",0.848
"9",0.121
"12",0.242
"12",0.182
"4",0.364
"12",0.061
"9",0.061
"4",14.116
"16",0.121
"1",0.121
"9",0.061
"4",0.061
"1",0.182
"12",0.061
"16",0.061
"4",0.242
"12",0.485
"4",0.121
"9",0.242
"9",0.061
"12",0.121
"1",0.061
"4",0.121
"12",2.181
"12",2.363
"12",0.969
"12",98.434
"16",9.148
"12",0.364
"12",4.120
"1",0.121
"9",0.061
"12",0.121
"12",0.061
"4",0.061
"9",0.121
"16",0.061
"4",0.182
"16",0.182
"12",0.121
"12",0.121
"9",0.424
"12",0.242
"9",0.061
"4",0.727
"16",0.061
"9",0.121
"11",0.182
"12",0.061
"11",0.121
"9",0.121
"9",0.121
"12",0.121
"12",0.364
"12",0.061
"9",0.061
"16",0.121
"9",0.061
"12",0.121
"12",0.121
"4",0.364
"11",0.242
"12",0.666
"12",0.545
"16",0.121
"12",0.121
"1",0.061
"1",0.061
"16",0.121
"16",0.182
"12",0.242
"4",0.061
"1",0.121
"4",0.061
"11",0.606
"9",0.061
"12",0.242
"12",0.061
"16",0.121
"4",0.061
"9",0.121
"9",0.121
"4",0.242
"16",12.723
"1",0.121
"4",0.242
"12",0.121
"12",0.121
"16",0.061
"16",0.242
"16",0.121
"16",0.121
"12",0.061
"16",0.121
"16",0.061
"1",0.121
"16",0.121
"16",0.121
"4",0.061
"9",0.061
"4",0.121
"12",14.782
"4",2.908
"16",0.242
"12",0.121
"4",0.242
"4",0.545
"9",0.061
"16",0.061
"12",0.182
"16",0.061
"16",0.242
"16",0.061
"1",0.121
"16",0.121
"1",0.121
"1",0.061
"9",0.061
"9",0.061
"4",0.182
"4",0.061
"1",0.121
"4",0.061
"12",0.303
"12",0.485
"16",0.242
"12",0.121
"13",0.061
"9",0.242
"12",0.121
"12",0.061
"9",0.121
"9",0.121
"11",0.061
"4",0.121
"4",0.121
"12",0.182
"4",0.121
"1",0.061
"16",0.061
"12",0.242
"9",0.182
"16",0.121
"12",0.061
"12",0.606
"16",0.182
"16",0.121
"16",0.121
"12",0.061
"1",0.848
"4",0.182
"9",0.061
"9",0.061
"16",1.091
"4",1.151
"4",0.485
"12",0.242
"4",0.061
"9",0.121
"12",0.485
"16",0.061
"16",0.061
"16",0.061
"1",0.121
"9",0.061
"16",0.121
"4",0.061
"9",0.121
"9",0.121
"4",0.121
"4",0.303
"4",0.061
"16",0.121
"12",0.121
"9",0.848
"16",0.061
"12",0.242
"12",0.121
"16",0.121
"12",0.303
"4",0.121
"4",0.364
"4",0.061
"11",0.121
"9",0.182
"9",0.061
"4",0.061
"16",0.242
"12",0.061
"9",0.061
"16",0.242
"12",0.121
"12",0.061
"4",0.061
"16",0.121
"9",0.182
"12",0.121
"13",0.061
"16",0.121
"4",0.242
"12",0.303
"9",0.242
"9",0.121
"4",0.121
"13",0.061
"16",0.061
"4",0.182
"1",0.061
"1",0.182
"12",0.061
"4",0.061
"4",0.121
"12",0.545
"16",1.091
"11",15.025
"16",0.242
"12",0.606
"9",0.364
"1",0.061
"16",1.030
"12",0.121
"1",0.121
"16",0.182
